A - total length,B - proximal width,C - depth of cotyla medialis,D - minimum width of shaft,E - minimum depth of shaft,F - distal width,G - distance between dorsal surface of trochlea metatarsi III and plantar side of trochlea metatarsi II,H - depth of lateral side of trochlea metatarsi III,I - Proximal side of base of spur core to the lateral end of Trochlea metatarsi III,J - length of spur core,Place of collection,Date of collection,My comments,Collection,Remarks 1,,,
143.37,22.05,13.94,8.82,5.74,23.42,12.9,11.07,68.21,14.33,Rancho La Brea,L,adult,,,spur spongy,,
136.34,20.97,14.17,8.48,5.78,21.46,12.26,10.63,62.44,16.63,Rancho La Brea,L,adult,,,spur probably fully developed but a little rough surface,,
142.98,22.22,14.52,9.21,6.05,22.78,12.4,11.39,64.37,17.82,Rancho La Brea,L,adult,,,spur fully developed,,
146.75,21.18,13.55,9.13,5.76,22.93,12.82,11.03,65.54,16.3,Rancho La Brea,L,adult,,,spur probably fully developed but a little rough surface,,
141.78,23.27,14.57,9.25,5.73,,,11.82,66.12,,Rancho La Brea,L,adult,,,spur broken off,,
148.36,22.69,14.68,8.83,5.97,23.76,13.09,11.34,67.47,18.89,Rancho La Brea,L,adult,,,spur fully developed,,
140.03,20.72,13.01,8.74,5.4,20.98,12.11,10.09,64.77,18.07,Rancho La Brea,L,adult,,,spur fully developed,,
138.71,22.96,14.7,9.02,5.69,23.09,12.96,11.31,66.43,19.41,Rancho La Brea,L,adult,,,spur fully developed,,
138.61,21.21,13.6,8.56,5.44,21.48,11.6,10.44,69.25,11.22,Rancho La Brea,L,adult,,,spur worn off?,,
139.28,20.91,13.03,8.31,5.49,21.23,12.12,10.52,65.24,17.75,Rancho La Brea,L,adult,,,spur fully developed,,
146.58,23.51,15.07,9.25,6.27,23.75,12.91,11.63,70.63,21.02,Rancho La Brea,L,adult,,,spur fully developed,,
